park_code,report_version,report_date,year,month,group_description,measure,monthly_value,same_month_prior_year,percent_change,calendar_ytd,prior_calendar_ytd,ytd_percent_change,fiscal_ytd,source_file,source_report_url
CHIS,1,1995-01-01,1995,1,Summary of Total Trips,IPCO Day Trips (All Units),8,,0,8,,0,8,CHIS_report_version_1_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%201?Park=CHIS
CHIS,1,1995-01-01,1995,1,Summary of Total Trips,IPCO Day Trip Passengers (All Units),161,,0,161,,0,161,CHIS_report_version_1_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%201?Park=CHIS
CHIS,1,1995-01-01,1995,1,Summary of Total Trips,IPCO Day Trips (Non-Landing),26,,0,26,,0,26,CHIS_report_version_1_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%201?Park=CHIS
CHIS,1,1995-01-01,1995,1,Summary of Total Trips,IPCO Day Trip Passengers (Non-Landing),846,,0,846,,0,846,CHIS_report_version_1_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%201?Park=CHIS
CHIS,1,1995-01-01,1995,1,Summary of Total Trips,Truth Aquatic Day Trips,0,,0,0,,0,0,CHIS_report_version_1_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%201?Park=CHIS
CHIS,1,1995-01-01,1995,1,Summary of Total Trips,Truth Aquatic Day Trip Passengers,0,,0,0,,0,0,CHIS_report_version_1_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%201?Park=CHIS
CHIS,1,1995-01-01,1995,1,Summary of Total Trips,Truth Aquatics Day Trips (Non-Landing),0,,0,0,,0,0,CHIS_report_version_1_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%201?Park=CHIS
CHIS,1,1995-01-01,1995,1,Summary of Total Trips,Truth Aquatic Day Trip Pass's (Non-Landing),0,,0,0,,0,0,CHIS_report_version_1_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%201?Park=CHIS
CHIS,1,1995-01-01,1995,1,Summary of Total Trips,CIA Flights,1,,0,1,,0,1,CHIS_report_version_1_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%201?Park=CHIS
CHIS,1,1995-01-01,1995,1,Summary of Total Trips,CIA Passengers,6,,0,6,,0,6,CHIS_report_version_1_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%201?Park=CHIS
CHIS,1,1995-01-01,1995,1,Summary of Individual Trips and Passengers by Island,IPCO Day Trips Anacapa,4,,0,4,,0,4,CHIS_report_version_1_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%201?Park=CHIS
