park_code,report_version,report_date,year,month,group_description,measure,monthly_value,same_month_prior_year,percent_change,calendar_ytd,prior_calendar_ytd,ytd_percent_change,fiscal_ytd,source_file,source_report_url
CHIS,2,1995-01-01,1995,1,Summary of Total Programs,Formal Programs,28,,0,28,,0,28,CHIS_report_version_2_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%202?Park=CHIS
CHIS,2,1995-01-01,1995,1,Summary of Total Programs,Formal Program Visitors,336,,0,336,,0,336,CHIS_report_version_2_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%202?Park=CHIS
CHIS,2,1995-01-01,1995,1,Summary of Total Programs,Education Programs,1,,0,1,,0,1,CHIS_report_version_2_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%202?Park=CHIS
CHIS,2,1995-01-01,1995,1,Summary of Total Programs,Education Programs Attendance,0,,0,0,,0,0,CHIS_report_version_2_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%202?Park=CHIS
CHIS,2,1995-01-01,1995,1,Summary of Total Programs,Informal Interpretive Contacts,40,,0,40,,0,40,CHIS_report_version_2_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%202?Park=CHIS
CHIS,2,1995-01-01,1995,1,Summary of Total Programs,Informal Visitors Contacted,761,,0,761,,0,761,CHIS_report_version_2_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%202?Park=CHIS
CHIS,2,1995-01-01,1995,1,Summary of Total Programs,Community Programs,0,,0,0,,0,0,CHIS_report_version_2_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%202?Park=CHIS
CHIS,2,1995-01-01,1995,1,Summary of Total Programs,Community Programs Attendance,0,,0,0,,0,0,CHIS_report_version_2_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%202?Park=CHIS
CHIS,2,1995-01-01,1995,1,Individual Programs,Mainland Visitor Center,12221,,0,12221,,0,12221,CHIS_report_version_2_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%202?Park=CHIS
CHIS,2,1995-01-01,1995,1,Individual Programs,Santa Barbara Outdoor VC,0,,0,0,,0,0,CHIS_report_version_2_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%202?Park=CHIS
CHIS,2,1995-01-01,1995,1,Individual Programs,Anacapa Visitor Center,0,,0,0,,0,0,CHIS_report_version_2_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%202?Park=CHIS
CHIS,2,1995-01-01,1995,1,Individual Programs,Santa Barbara VC,0,,0,0,,0,0,CHIS_report_version_2_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%202?Park=CHIS
CHIS,2,1995-01-01,1995,1,Mainland Programs,Formal Programs,9,,0,9,,0,9,CHIS_report_version_2_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%202?Park=CHIS
CHIS,2,1995-01-01,1995,1,Mainland Programs,Formal Programs Attendance,252,,0,252,,0,252,CHIS_report_version_2_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%202?Park=CHIS
CHIS,2,1995-01-01,1995,1,Mainland Programs,Education Programs,1,,0,1,,0,1,CHIS_report_version_2_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%202?Park=CHIS
CHIS,2,1995-01-01,1995,1,Mainland Programs,Education Programs Attendance,0,,0,0,,0,0,CHIS_report_version_2_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%202?Park=CHIS
