park_code,report_date,year,month,island,measure,monthly_value,same_month_prior_year,percent_change,calendar_ytd,prior_calendar_ytd,ytd_percent_change,fiscal_ytd,row_type,source_file,source_report_url
CHIS,1995-01-01,1995,1,Anacapa,Rec Visitors Ashore,128,,0,128,,0,128,island,CHIS_island_report_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-01-01,1995,1,Anacapa,Overnight Stays,0,,0,0,,0,0,island,CHIS_island_report_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-01-01,1995,1,Santa Barbara,Rec Visitors Ashore,3,,0,3,,0,3,island,CHIS_island_report_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-01-01,1995,1,Santa Barbara,Overnight Stays,0,,0,0,,0,0,island,CHIS_island_report_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-01-01,1995,1,San Miguel,Rec Visitors Ashore,0,,0,0,,0,0,island,CHIS_island_report_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-01-01,1995,1,San Miguel,Overnight Stays,0,,0,0,,0,0,island,CHIS_island_report_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-01-01,1995,1,Santa Cruz,Rec Visitors Ashore,153,,0,153,,0,153,island,CHIS_island_report_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-01-01,1995,1,Santa Cruz,Overnight Stays,0,,0,0,,0,0,island,CHIS_island_report_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-01-01,1995,1,Isthmus,Rec Visitors Ashore,0,,0,0,,0,0,island,CHIS_island_report_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-01-01,1995,1,Isthmus,Overnight Stays,0,,0,0,,0,0,island,CHIS_island_report_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-01-01,1995,1,Santa Rosa,Rec Visitors Ashore,6,,0,6,,0,6,island,CHIS_island_report_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-01-01,1995,1,Santa Rosa,Overnight Stays,0,,0,0,,0,0,island,CHIS_island_report_1995_01.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-02-01,1995,2,Anacapa,Rec Visitors Ashore,658,,0,786,,0,786,island,CHIS_island_report_1995_02.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-02-01,1995,2,Anacapa,Overnight Stays,10,,0,10,,0,10,island,CHIS_island_report_1995_02.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-02-01,1995,2,Santa Barbara,Rec Visitors Ashore,44,,0,47,,0,47,island,CHIS_island_report_1995_02.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-02-01,1995,2,Santa Barbara,Overnight Stays,0,,0,0,,0,0,island,CHIS_island_report_1995_02.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-02-01,1995,2,San Miguel,Rec Visitors Ashore,26,,0,26,,0,26,island,CHIS_island_report_1995_02.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-02-01,1995,2,San Miguel,Overnight Stays,6,,0,6,,0,6,island,CHIS_island_report_1995_02.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-02-01,1995,2,Santa Cruz,Rec Visitors Ashore,506,,0,659,,0,659,island,CHIS_island_report_1995_02.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-02-01,1995,2,Santa Cruz,Overnight Stays,82,,0,82,,0,82,island,CHIS_island_report_1995_02.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-02-01,1995,2,Isthmus,Rec Visitors Ashore,0,,0,0,,0,0,island,CHIS_island_report_1995_02.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-02-01,1995,2,Isthmus,Overnight Stays,0,,0,0,,0,0,island,CHIS_island_report_1995_02.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-02-01,1995,2,Santa Rosa,Rec Visitors Ashore,10,,0,16,,0,16,island,CHIS_island_report_1995_02.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-02-01,1995,2,Santa Rosa,Overnight Stays,10,,0,10,,0,10,island,CHIS_island_report_1995_02.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-03-01,1995,3,Anacapa,Rec Visitors Ashore,1241,,0,2027,,0,2027,island,CHIS_island_report_1995_03.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-03-01,1995,3,Anacapa,Overnight Stays,114,,0,124,,0,124,island,CHIS_island_report_1995_03.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-03-01,1995,3,Santa Barbara,Rec Visitors Ashore,20,,0,67,,0,67,island,CHIS_island_report_1995_03.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-03-01,1995,3,Santa Barbara,Overnight Stays,0,,0,0,,0,0,island,CHIS_island_report_1995_03.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-03-01,1995,3,San Miguel,Rec Visitors Ashore,0,,0,26,,0,26,island,CHIS_island_report_1995_03.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-03-01,1995,3,San Miguel,Overnight Stays,0,,0,6,,0,6,island,CHIS_island_report_1995_03.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
