park,year,month,statistic,value,stat1,stat2,stat_desc
CHIS,2011,1,TRV,14343,Rec Visits,rec_visits,Total Recreation Visits
CHIS,2011,1,TNRV,628,Non-Rec Visits,non_rec_visits,Total Non-Recreation Visits
CHIS,2011,1,TV,14971,Total Visits,total_visits,Total Visits (Recreation + Non-Recreation)
CHIS,2011,1,TRVH,50850,Rec Hrs,rec_hrs,Total Recreation Visitor Hours
CHIS,2011,1,TH,65922,Total Hrs,total_hrs,Total Hours (Recreation + Non-Recreation)
CHIS,2011,1,CL,0,Conc Lodging,conc_lodging,Concessioner Lodging Overnight Stays
CHIS,2011,1,CCG,0,Conc Camp,conc_camp,Concessioner Campground Overnight Stays
CHIS,2011,1,TT,0,Tent Camp,tent_camp,Tent Camping Overnight Stays (NPS)
CHIS,2011,1,TRVS,0,Rec Stays,rec_stays,Total Recreation Overnight Stays
CHIS,2011,1,TTRV,0,Tent & RV,tent_rv,Total Tent and RV Camping Stays
CHIS,2011,1,BC,204,Backcountry,backcountry,Backcountry Camping Overnight Stays
CHIS,2011,1,MISC,446,Misc Stays,misc_stays,Miscellaneous Overnight Stays
CHIS,2011,1,NROS,689,Non-Rec Stays,non_rec_stays,Non-Recreation Overnight Stays
CHIS,2011,1,TOS,1339,Total Stays,total_stays,Total Overnight Stays
CHIS,2011,1,TNRVH,15072,Non-Rec Hrs,non_rec_hrs,Total Non-Recreation Visitor Hours
CHIS,2011,2,TRV,5384,Rec Visits,rec_visits,Total Recreation Visits
CHIS,2011,2,TNRV,429,Non-Rec Visits,non_rec_visits,Total Non-Recreation Visits
CHIS,2011,2,TV,5813,Total Visits,total_visits,Total Visits (Recreation + Non-Recreation)
CHIS,2011,2,TRVH,34967,Rec Hrs,rec_hrs,Total Recreation Visitor Hours
CHIS,2011,2,TH,45263,Total Hrs,total_hrs,Total Hours (Recreation + Non-Recreation)
CHIS,2011,2,CL,0,Conc Lodging,conc_lodging,Concessioner Lodging Overnight Stays
CHIS,2011,2,CCG,0,Conc Camp,conc_camp,Concessioner Campground Overnight Stays
CHIS,2011,2,TT,0,Tent Camp,tent_camp,Tent Camping Overnight Stays (NPS)
CHIS,2011,2,TRVS,0,Rec Stays,rec_stays,Total Recreation Overnight Stays
CHIS,2011,2,TTRV,0,Tent & RV,tent_rv,Total Tent and RV Camping Stays
CHIS,2011,2,BC,249,Backcountry,backcountry,Backcountry Camping Overnight Stays
CHIS,2011,2,MISC,392,Misc Stays,misc_stays,Miscellaneous Overnight Stays
CHIS,2011,2,NROS,783,Non-Rec Stays,non_rec_stays,Non-Recreation Overnight Stays
CHIS,2011,2,TOS,1424,Total Stays,total_stays,Total Overnight Stays
CHIS,2011,2,TNRVH,10296,Non-Rec Hrs,non_rec_hrs,Total Non-Recreation Visitor Hours
CHIS,2011,3,TRV,16432,Rec Visits,rec_visits,Total Recreation Visits
CHIS,2011,3,TNRV,580,Non-Rec Visits,non_rec_visits,Total Non-Recreation Visits
CHIS,2011,3,TV,17012,Total Visits,total_visits,Total Visits (Recreation + Non-Recreation)
CHIS,2011,3,TRVH,37892,Rec Hrs,rec_hrs,Total Recreation Visitor Hours
CHIS,2011,3,TH,51812,Total Hrs,total_hrs,Total Hours (Recreation + Non-Recreation)
CHIS,2011,3,CL,0,Conc Lodging,conc_lodging,Concessioner Lodging Overnight Stays
CHIS,2011,3,CCG,0,Conc Camp,conc_camp,Concessioner Campground Overnight Stays
CHIS,2011,3,TT,0,Tent Camp,tent_camp,Tent Camping Overnight Stays (NPS)
CHIS,2011,3,TRVS,0,Rec Stays,rec_stays,Total Recreation Overnight Stays
CHIS,2011,3,TTRV,0,Tent & RV,tent_rv,Total Tent and RV Camping Stays
CHIS,2011,3,BC,2547,Backcountry,backcountry,Backcountry Camping Overnight Stays
CHIS,2011,3,MISC,842,Misc Stays,misc_stays,Miscellaneous Overnight Stays
CHIS,2011,3,NROS,1211,Non-Rec Stays,non_rec_stays,Non-Recreation Overnight Stays
CHIS,2011,3,TOS,4600,Total Stays,total_stays,Total Overnight Stays
