year,island,Overnight Stays,Rec Visitors Ashore,Rec Overnight Boats,Rec Visitors on Boats
1995,Anacapa,1236,14851,NA,NA
1995,Isthmus,0,0,NA,NA
1995,San Miguel,583,1535,NA,NA
1995,Santa Barbara,353,1495,NA,NA
1995,Santa Cruz,1760,7674,NA,NA
1995,Santa Rosa,1326,2436,NA,NA
1996,Anacapa,1101,16134,NA,NA
1996,Isthmus,0,0,NA,NA
1996,San Miguel,242,945,NA,NA
1996,Santa Barbara,470,1343,NA,NA
1996,Santa Cruz,2452,9502,NA,NA
1996,Santa Rosa,1721,2701,NA,NA
1997,Anacapa,1023,16472,NA,NA
1997,Isthmus,0,0,NA,NA
1997,San Miguel,235,799,NA,NA
1997,Santa Barbara,360,709,NA,NA
1997,Santa Cruz,6575,16182,NA,NA
1997,Santa Rosa,1094,2152,NA,NA
1998,Anacapa,897,17048,NA,NA
1998,Isthmus,0,0,NA,NA
1998,San Miguel,419,1081,NA,NA
1998,Santa Barbara,579,1144,NA,NA
1998,Santa Cruz,5356,16395,NA,NA
1998,Santa Rosa,2006,3526,NA,NA
1999,Anacapa,808,16871,NA,NA
1999,Isthmus,0,0,NA,NA
1999,San Miguel,281,1139,NA,NA
1999,Santa Barbara,367,1083,NA,NA
1999,Santa Cruz,6442,18236,NA,NA
1999,Santa Rosa,1561,2939,NA,NA
2000,Anacapa,938,16584,NA,NA
2000,Isthmus,0,374,NA,NA
2000,San Miguel,334,1057,NA,NA
2000,Santa Barbara,393,1100,NA,NA
2000,Santa Cruz,6836,17997,NA,NA
2000,Santa Rosa,1726,2662,NA,NA
2001,Anacapa,832,18046,NA,NA
2001,Isthmus,0,623,NA,NA
2001,San Miguel,328,1261,NA,NA
2001,Santa Barbara,320,1209,NA,NA
2001,Santa Cruz,7736,22491,NA,NA
2001,Santa Rosa,1110,2044,NA,NA
2002,Anacapa,865,20710,NA,NA
2002,Isthmus,408,1999,NA,NA
2002,San Miguel,353,1242,NA,NA
2002,Santa Barbara,369,1359,NA,NA
2002,Santa Cruz,10496,28178,NA,NA
2002,Santa Rosa,1223,2678,NA,NA
2003,Anacapa,749,16033,NA,NA
2003,Isthmus,212,6622,NA,NA
2003,San Miguel,416,1058,NA,NA
2003,Santa Barbara,365,1490,NA,NA
2003,Santa Cruz,12393,36031,NA,NA
2003,Santa Rosa,1395,3050,NA,NA
2004,Anacapa,816,17655,NA,NA
2004,Isthmus,511,10174,NA,NA
2004,San Miguel,426,1201,NA,NA
2004,Santa Barbara,159,1633,NA,NA
2004,Santa Cruz,13897,45362,NA,NA
2004,Santa Rosa,1788,3807,NA,NA
2005,Anacapa,866,12415,NA,NA
2005,Isthmus,359,6757,NA,NA
2005,San Miguel,399,1535,NA,NA
2005,Santa Barbara,348,1602,NA,NA
2005,Santa Cruz,16091,39853,NA,NA
2005,Santa Rosa,1478,2902,NA,NA
2006,Anacapa,827,11642,NA,NA
2006,Isthmus,0,6686,NA,NA
2006,San Miguel,379,1591,NA,NA
2006,Santa Barbara,292,1172,NA,NA
2006,Santa Cruz,14079,33654,NA,NA
2006,Santa Rosa,2115,4047,NA,NA
2007,Anacapa,536,10791,NA,NA
2007,Isthmus,200,7012,NA,NA
2007,San Miguel,331,1167,NA,NA
2007,Santa Barbara,605,687,NA,NA
2007,Santa Cruz,14360,36276,NA,NA
2007,Santa Rosa,1969,4350,NA,NA
2008,Anacapa,411,12998,NA,NA
2008,Isthmus,340,7340,NA,NA
2008,San Miguel,222,1053,NA,NA
2008,Santa Barbara,107,561,NA,NA
2008,Santa Cruz,14173,42715,NA,NA
2008,Santa Rosa,2036,4306,NA,NA
2009,Anacapa,577,10385,NA,NA
2009,Isthmus,357,5913,NA,NA
2009,San Miguel,305,1409,NA,NA
2009,Santa Barbara,160,543,NA,NA
2009,Santa Cruz,17248,47476,NA,NA
2009,Santa Rosa,1907,3580,NA,NA
2010,Anacapa,11,5083,NA,NA
2010,Isthmus,206,2301,NA,NA
2010,San Miguel,1287,1495,NA,NA
2010,Santa Barbara,286,925,NA,NA
2010,Santa Cruz,34369,44118,NA,NA
2010,Santa Rosa,1118,2446,NA,NA
2011,Anacapa,261,4459,NA,NA
2011,Isthmus,29,801,NA,NA
2011,San Miguel,223,1134,NA,NA
2011,Santa Barbara,392,1134,NA,NA
2011,Santa Cruz,20602,41062,NA,NA
2011,Santa Rosa,1353,3070,NA,NA
2012,Anacapa,218,8783,NA,NA
2012,Isthmus,0,2290,NA,NA
2012,San Miguel,232,962,NA,NA
2012,Santa Barbara,410,982,NA,NA
2012,Santa Cruz,17113,54925,NA,NA
2012,Santa Rosa,1872,4124,NA,NA
2013,Anacapa,8,8534,NA,NA
2013,Isthmus,8,2400,NA,NA
2013,San Miguel,417,1288,NA,NA
2013,Santa Barbara,156,606,NA,NA
2013,Santa Cruz,17406,57039,NA,NA
2013,Santa Rosa,2796,5370,NA,NA
2014,Anacapa,18,9008,NA,NA
2014,Isthmus,152,5415,NA,NA
2014,San Miguel,6,174,NA,NA
2014,Santa Barbara,101,419,NA,NA
2014,Santa Cruz,20110,65232,NA,NA
2014,Santa Rosa,2833,4860,NA,NA
2015,Anacapa,458,8494,NA,NA
2015,Isthmus,134,6862,NA,NA
2015,San Miguel,0,5,NA,NA
2015,Santa Barbara,306,652,NA,NA
2015,Santa Cruz,20517,65370,NA,NA
2015,Santa Rosa,2045,4182,NA,NA
2016,Anacapa,339,7861,NA,NA
2016,Isthmus,60,17592,NA,NA
2016,San Miguel,39,495,NA,NA
2016,Santa Barbara,0,0,NA,NA
