island,use_type,mean_annual,sd_annual,n,se_annual
Anacapa,Overnight Stays,918.3333333333334,667.7905859374379,6,272.62436509682044
Anacapa,Rec Overnight Boats,1400,0,6,0
Anacapa,Rec Visitors Ashore,4163.666666666667,2137.9561891364065,6,872.8169593015734
Anacapa,Rec Visitors on Boats,22394.333333333332,20276.295841860927,6,8277.763114379259
Isthmus,Overnight Stays,1921.1666666666667,975.5389108931876,6,398.26209265312264
Isthmus,Rec Overnight Boats,NA,NA,0,NA
Isthmus,Rec Visitors Ashore,9164.833333333334,6899.933316102893,6,2816.8859806136593
Isthmus,Rec Visitors on Boats,NA,NA,0,NA
San Miguel,Overnight Stays,632.5,329.6220563008489,6,134.56764098400478
San Miguel,Rec Overnight Boats,979,0,6,0
San Miguel,Rec Visitors Ashore,744,536.5806556334285,6,219.05813535832598
San Miguel,Rec Visitors on Boats,3865.1666666666665,2961.8112982880366,6,1209.1543992026457
Santa Barbara,Overnight Stays,15.666666666666666,38.37533930360312,6,15.666666666666666
Santa Barbara,Rec Overnight Boats,2416,0,6,0
Santa Barbara,Rec Visitors Ashore,81.66666666666667,71.86283230340052,6,29.337878435754536
Santa Barbara,Rec Visitors on Boats,10277.5,11260.806574131359,6,4597.205033133358
Santa Cruz,Overnight Stays,22468.5,15189.445398038732,6,6201.065116843504
Santa Cruz,Rec Overnight Boats,3766,0,6,0
Santa Cruz,Rec Visitors Ashore,53948.166666666664,27182.005572927592,6,11097.007306526888
Santa Cruz,Rec Visitors on Boats,10968.833333333334,8399.150657457376,6,3428.938897255405
Santa Rosa,Overnight Stays,5639.666666666667,2424.7218947060023,6,989.8885683640244
Santa Rosa,Rec Overnight Boats,1456,0,6,0
Santa Rosa,Rec Visitors Ashore,7478,1765.0614720173346,6,720.5833285147065
Santa Rosa,Rec Visitors on Boats,12797,9668.15446711522,6,3947.0075331403496
