season_year,season,island,measure,seasonal_total,mean_monthly,sd_monthly,n,se_monthly
1995,Summer,Anacapa,Overnight Stays,932,155.33333333333334,51.84078188710763,6,21.163910581721687
1995,Summer,Anacapa,Rec Visitors Ashore,11003,1833.8333333333333,510.4090189903257,6,208.37360944013787
1995,Summer,Isthmus,Overnight Stays,0,0,0,6,0
1995,Summer,Isthmus,Rec Visitors Ashore,0,0,0,6,0
1995,Summer,San Miguel,Overnight Stays,506,84.33333333333333,39.26151635719979,6,16.02844693384581
1995,Summer,San Miguel,Rec Visitors Ashore,1295,215.83333333333334,67.76552712601493,6,27.665160601578133
1995,Summer,Santa Barbara,Overnight Stays,341,56.83333333333333,43.148194245723275,6,17.61517653741922
1995,Summer,Santa Barbara,Rec Visitors Ashore,1321,220.16666666666666,119.66857008699763,6,48.85448916027176
1995,Summer,Santa Cruz,Overnight Stays,1678,279.6666666666667,53.038350904479174,6,21.652816085776106
1995,Summer,Santa Cruz,Rec Visitors Ashore,6754,1125.6666666666667,355.72498740834425,6,145.22411798473576
1995,Summer,Santa Rosa,Overnight Stays,1143,190.5,128.3070535863091,6,52.381135281065966
1995,Summer,Santa Rosa,Rec Visitors Ashore,2111,351.8333333333333,168.3822041269999,6,68.74174697938494
1996,Summer,Anacapa,Overnight Stays,822,137,59.03897018072046,6,24.102558647026115
1996,Summer,Anacapa,Rec Visitors Ashore,11296,1882.6666666666667,399.90682248077076,6,163.2612766226102
1996,Summer,Isthmus,Overnight Stays,0,0,0,6,0
1996,Summer,Isthmus,Rec Visitors Ashore,0,0,0,6,0
1996,Summer,San Miguel,Overnight Stays,174,29,29.086079144497972,6,11.874342087037917
1996,Summer,San Miguel,Rec Visitors Ashore,652,108.66666666666667,76.88866409729503,6,31.389665673770903
1996,Summer,Santa Barbara,Overnight Stays,435,72.5,68.06394052653725,6,27.78698736219288
1996,Summer,Santa Barbara,Rec Visitors Ashore,1112,185.33333333333334,152.92699783447873,6,62.43218543169683
1996,Summer,Santa Cruz,Overnight Stays,1678,279.6666666666667,53.038350904479174,6,21.652816085776106
1996,Summer,Santa Cruz,Rec Visitors Ashore,6754,1125.6666666666667,355.72498740834425,6,145.22411798473576
1996,Summer,Santa Rosa,Overnight Stays,1288,214.66666666666666,197.79248384776068,6,80.74844339744955
1996,Summer,Santa Rosa,Rec Visitors Ashore,2093,348.8333333333333,262.5684037858833,6,107.19310197541216
1996,Winter,Anacapa,Overnight Stays,314,52.33333333333333,56.65921519635324,6,23.13102774293534
1996,Winter,Anacapa,Rec Visitors Ashore,4888,814.6666666666667,657.6441793756459,6,268.4821119636175
