year,month,island,Rec Visitors Ashore,Overnight Stays,Rec Overnight Boats,Rec Visitors on Boats,date
1995,1,Anacapa,128,0,NA,NA,1995-01-01
1995,1,Santa Barbara,3,0,NA,NA,1995-01-01
1995,1,San Miguel,0,0,NA,NA,1995-01-01
1995,1,Santa Cruz,153,0,NA,NA,1995-01-01
1995,1,Isthmus,0,0,NA,NA,1995-01-01
1995,1,Santa Rosa,6,0,NA,NA,1995-01-01
1995,2,Anacapa,658,10,NA,NA,1995-02-01
1995,2,Santa Barbara,44,0,NA,NA,1995-02-01
1995,2,San Miguel,26,6,NA,NA,1995-02-01
1995,2,Santa Cruz,506,82,NA,NA,1995-02-01
1995,2,Isthmus,0,0,NA,NA,1995-02-01
1995,2,Santa Rosa,10,10,NA,NA,1995-02-01
1995,3,Anacapa,1241,114,NA,NA,1995-03-01
1995,3,Santa Barbara,20,0,NA,NA,1995-03-01
1995,3,San Miguel,0,0,NA,NA,1995-03-01
1995,3,Santa Cruz,261,0,NA,NA,1995-03-01
1995,3,Isthmus,0,0,NA,NA,1995-03-01
1995,3,Santa Rosa,64,59,NA,NA,1995-03-01
1995,4,Anacapa,1507,161,NA,NA,1995-04-01
1995,4,Santa Barbara,108,17,NA,NA,1995-04-01
1995,4,San Miguel,138,52,NA,NA,1995-04-01
1995,4,Santa Cruz,519,205,NA,NA,1995-04-01
1995,4,Isthmus,0,0,NA,NA,1995-04-01
1995,4,Santa Rosa,377,236,NA,NA,1995-04-01
1995,5,Anacapa,1798,91,NA,NA,1995-05-01
1995,5,Santa Barbara,83,4,NA,NA,1995-05-01
1995,5,San Miguel,185,60,NA,NA,1995-05-01
1995,5,Santa Cruz,1290,286,NA,NA,1995-05-01
1995,5,Isthmus,0,0,NA,NA,1995-05-01
1995,5,Santa Rosa,228,109,NA,NA,1995-05-01
1995,6,Anacapa,1748,129,NA,NA,1995-06-01
1995,6,Santa Barbara,202,124,NA,NA,1995-06-01
1995,6,San Miguel,145,48,NA,NA,1995-06-01
1995,6,Santa Cruz,997,273,NA,NA,1995-06-01
1995,6,Isthmus,0,0,NA,NA,1995-06-01
1995,6,Santa Rosa,134,67,NA,NA,1995-06-01
1995,7,Anacapa,2447,182,NA,NA,1995-07-01
1995,7,Santa Barbara,338,64,NA,NA,1995-07-01
1995,7,San Miguel,269,122,NA,NA,1995-07-01
1995,7,Santa Cruz,1528,280,NA,NA,1995-07-01
1995,7,Isthmus,0,0,NA,NA,1995-07-01
1995,7,Santa Rosa,623,417,NA,NA,1995-07-01
1995,8,Anacapa,2383,240,NA,NA,1995-08-01
1995,8,Santa Barbara,381,76,NA,NA,1995-08-01
1995,8,San Miguel,287,142,NA,NA,1995-08-01
1995,8,Santa Cruz,1360,370,NA,NA,1995-08-01
1995,8,Isthmus,0,0,NA,NA,1995-08-01
1995,8,Santa Rosa,418,108,NA,NA,1995-08-01
1995,9,Anacapa,1120,129,NA,NA,1995-09-01
1995,9,Santa Barbara,209,56,NA,NA,1995-09-01
1995,9,San Miguel,271,82,NA,NA,1995-09-01
1995,9,Santa Cruz,1060,264,NA,NA,1995-09-01
1995,9,Isthmus,0,0,NA,NA,1995-09-01
1995,9,Santa Rosa,331,206,NA,NA,1995-09-01
1995,10,Anacapa,901,135,NA,NA,1995-10-01
1995,10,Santa Barbara,67,12,NA,NA,1995-10-01
1995,10,San Miguel,183,71,NA,NA,1995-10-01
1995,10,Santa Cruz,0,0,NA,NA,1995-10-01
1995,10,Isthmus,0,0,NA,NA,1995-10-01
1995,10,Santa Rosa,192,85,NA,NA,1995-10-01
1995,11,Anacapa,842,45,NA,NA,1995-11-01
1995,11,Santa Barbara,40,0,NA,NA,1995-11-01
1995,11,San Miguel,31,0,NA,NA,1995-11-01
1995,11,Santa Cruz,0,0,NA,NA,1995-11-01
1995,11,Isthmus,0,0,NA,NA,1995-11-01
1995,11,Santa Rosa,35,27,NA,NA,1995-11-01
1995,12,Anacapa,78,0,NA,NA,1995-12-01
1995,12,Santa Barbara,0,0,NA,NA,1995-12-01
1995,12,San Miguel,0,0,NA,NA,1995-12-01
1995,12,Santa Cruz,0,0,NA,NA,1995-12-01
1995,12,Isthmus,0,0,NA,NA,1995-12-01
1995,12,Santa Rosa,18,2,NA,NA,1995-12-01
1996,1,Anacapa,396,17,NA,NA,1996-01-01
1996,1,Santa Barbara,38,0,NA,NA,1996-01-01
1996,1,San Miguel,128,0,NA,NA,1996-01-01
