season_year,season,seasonal_total,monthly_mean_visits,sd_visits,n,se_visits
1980,Summer,94583,15763.833333333334,5690.50217174782,6,2323.1377834969476
1981,Summer,70227,11704.5,3572.854363110817,6,1458.6116858163452
1981,Winter,39019,6503.166666666667,1418.089054561337,6,578.9324322501816
1982,Summer,123188,20531.333333333332,6992.001535087551,6,2854.4726736201987
1982,Winter,53148,8858,3529.4984346221204,6,1440.9117021293614
1983,Summer,141966,23661,6896.822630748162,6,2815.6160486354197
1983,Winter,83289,13881.5,2428.27451084098,6,991.3389178278034
1984,Summer,137055,22842.5,5255.629277260717,6,2145.601667753516
1984,Winter,82856,13809.333333333334,2152.0639085925554,6,878.57641165189
1985,Summer,131725,21954.166666666668,7646.581940100209,6,3121.7040049377597
1985,Winter,85615,14269.166666666666,1438.46465603666,6,587.2507367196553
1986,Summer,134008,22334.666666666668,6663.106382661669,6,2720.201789900481
1986,Winter,81955,13659.166666666666,2201.959528843949,6,898.9462133211556
1987,Summer,137487,22914.5,7048.642273516227,6,2877.596158254317
1987,Winter,91918,15319.666666666666,4829.090169655839,6,1971.4678062578428
1988,Summer,128625,21437.5,6199.1717430637455,6,2530.80126639766
1988,Winter,99697,16616.166666666668,2357.3432008654713,6,962.3813317899396
1989,Summer,116841,19473.5,5022.91077961773,6,2050.594738931448
1989,Winter,87163,14527.166666666666,2270.044353458026,6,926.7417265763844
1990,Summer,103943,17323.833333333332,7366.010193223104,6,3007.161068922722
1990,Winter,76318,12719.666666666666,2651.7627847653844,6,1082.577623596161
1991,Summer,114848,19141.333333333332,5440.650132720047,6,2221.136115694949
1991,Winter,87247,14541.166666666666,4257.0511115873,6,1737.9338387228029
1992,Summer,125112,20852,4000.42417750918,6,1633.166331598428
1992,Winter,90221,15036.833333333334,2245.45277542563,6,916.70225688485
1993,Summer,147404,24567.333333333332,7094.548940325006,6,2896.337476499895
1993,Winter,92375,15395.833333333334,4067.8695365838203,6,1660.7007841403715
1994,Summer,137614,22935.666666666668,8025.534839913578,6,3276.410878452891
1994,Winter,101668,16944.666666666668,5617.051955133285,6,2293.1518581298633
1995,Summer,362100,60350,25470.654534188947,6,10398.35117057828
1995,Winter,137463,22910.5,10752.552715518303,6,4389.711264232916
1996,Summer,316717,52786.166666666664,11748.709110649845,6,4796.390409580012
1996,Winter,225485,37580.833333333336,14045.291686777697,6,5733.966320193302
1997,Summer,307055,51175.833333333336,10953.89584424951,6,4471.909252334076
1997,Winter,222906,37151,11156.455153855995,6,4554.6037441984645
1998,Summer,397910,66318.33333333333,10385.336829716533,6,4239.79600662317
1998,Winter,176018,29336.333333333332,9264.12145142035,6,3782.0617451919593
1999,Summer,398614,66435.66666666667,14452.196174515022,6,5900.084381694139
