year,TNRV,TRV,total_visits
1980,31008,104574,135582
1981,21903,87514,109417
1982,20322,172287,192609
1983,22287,205024,227311
1984,22445,203411,225856
1985,51600,164132,215732
1986,53920,172913,226833
1987,55075,174607,229682
1988,52634,168592,221226
1989,47774,152662,200436
1990,45343,144083,189426
1991,46722,149263,195985
1992,53086,169181,222267
1993,58098,184867,242965
1994,54439,175226,229665
1995,35958,525882,561840
1996,32623,490715,523338
1997,34764,488757,523521
1998,41720,574270,615990
1999,47837,607057,654894
2000,20213,482571,502784
2001,18206,520428,538634
2002,17773,613935,631708
2003,19835,585919,605754
2004,17155,537716,554871
2005,10855,434107,444962
2006,26603,375256,401859
2007,14249,360806,375055
2008,8731,332177,340908
2009,13388,348745,362133
2010,10671,277515,288186
2011,9056,242756,251812
2012,5141,249594,254735
2013,6006,212029,218035
2014,6574,342161,348735
2015,9365,324816,334181
2016,7387,364807,372194
2017,11449,383687,395136
2018,5863,366250,372113
2019,4445,409630,414075
2020,3144,167290,170434
2021,12098,319252,331350
2022,14192,323245,337437
2023,12197,328746,340943
2024,7852,262581,270433
2025,7852,227186,235038
