year,month,date,island_Anacapa,island_Isthmus,island_San Miguel,island_Santa Barbara,island_Santa Cruz,island_Santa Rosa,total_island_visitors,mainland_visitor_center,santa_barbara_outdoor_vc,total_visitor_centers,concessioner_total,original_NPS_TRV,total_islands_and_visitor_centers,difference_from_NPS,total_with_concessioners,difference_with_concessioners
1979,1,1979-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2732,NA,NA,NA,NA
1979,2,1979-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3121,NA,NA,NA,NA
1979,3,1979-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4774,NA,NA,NA,NA
1979,4,1979-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5157,NA,NA,NA,NA
1979,5,1979-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5805,NA,NA,NA,NA
1979,6,1979-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6060,NA,NA,NA,NA
1979,7,1979-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12639,NA,NA,NA,NA
1979,8,1979-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15717,NA,NA,NA,NA
1979,9,1979-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12187,NA,NA,NA,NA
1979,10,1979-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6352,NA,NA,NA,NA
1979,11,1979-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087,NA,NA,NA,NA
1979,12,1979-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4306,NA,NA,NA,NA
1980,1,1980-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4418,NA,NA,NA,NA
1980,2,1980-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2918,NA,NA,NA,NA
1980,3,1980-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8054,NA,NA,NA,NA
